identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,name_canonical_id,name_canonical_name,name_mapping_method,unique_name_canonical_id,unique_name_canonical_name,unique_name_mapping_method
bff458c6,AA Bilakhia,AA Bilakhia,,,,,,,26946.0,,,,,,,,,,,,,bff458c6,AA Bilakhia,exact_match,bff458c6,AA Bilakhia,exact_match
44e58b5b,AA Chakraborty,AA Chakraborty,0bcII1ihOXJJiQzCeLUiKiVOJAeyGJi,,,,,,680363.0,,,,,,,,,,,,,44e58b5b,AA Chakraborty,exact_match,44e58b5b,AA Chakraborty,exact_match
29d72eb2,AA Chavan,AA Chavan,,,,,,,337913.0,,,,,,,,,,,138.0,,29d72eb2,AA Chavan,exact_match,29d72eb2,AA Chavan,exact_match
b2c38dce,AA Choudhury,AA Choudhury,,,,,,,1339014.0,,,,,,,,,,,,,b2c38dce,AA Choudhury,exact_match,b2c38dce,AA Choudhury,exact_match
d37fd2c3,A Adams,A Adams,,,,,,,464322.0,,,,,,,,,,,,,UNRESOLVED,A Adams,unresolved,UNRESOLVED,A Adams,unresolved
fdcc7fe6,AA Darlow,AA Darlow,,,,,,,1051725.0,,,,,,,,,,,,,UNRESOLVED,AA Darlow,unresolved,UNRESOLVED,AA Darlow,unresolved
1b0ce76e,A Adekunle,A Adekunle,,,,,,,1365288.0,,,,,,,,,,,,,UNRESOLVED,A Adekunle,unresolved,UNRESOLVED,A Adekunle,unresolved
cfa56623,AA Deshpande,AA Deshpande,,,,,,,220679.0,,,,,,,,,,,,,UNRESOLVED,AA Deshpande,unresolved,UNRESOLVED,AA Deshpande,unresolved
b8f6fb20,A Adetoro,A Adetoro,,,,,,,1528427.0,,,,,,,,,,,,,UNRESOLVED,A Adetoro,unresolved,UNRESOLVED,A Adetoro,unresolved
dd2ed408,A Adey,A Adey,,,,,,,1313452.0,,,,,,,,,,,,,UNRESOLVED,A Adey,unresolved,UNRESOLVED,A Adey,unresolved
e6ec6b42,Aaditya Varadarajan,Aaditya Varadarajan,,,,,,,1444109.0,,,,,,,,,,,,,UNRESOLVED,Aaditya Varadarajan,unresolved,UNRESOLVED,Aaditya Varadarajan,unresolved
4c931d56,AA Donald,AA Donald,,,,,,,44716.0,,,,2010.0,,,,,,,,,UNRESOLVED,AA Donald,unresolved,UNRESOLVED,AA Donald,unresolved
9dbc77b3,Aaftab Alam Khan,Aaftab Alam Khan,,,,,,,1269467.0,,,,,,,,,,,,,UNRESOLVED,Aaftab Alam Khan,unresolved,UNRESOLVED,Aaftab Alam Khan,unresolved
a768a762,AA Gajic,AA Gajic,,,,,,,1323426.0,,,,,,,,,,,,,UNRESOLVED,AA Gajic,unresolved,UNRESOLVED,AA Gajic,unresolved
fa0d3636,AA Gordon,AA Gordon,,,,,,,909119.0,,,,,,,,,,,,,UNRESOLVED,AA Gordon,unresolved,UNRESOLVED,AA Gordon,unresolved
797f52cc,AAhan Achar,AAhan Achar,,,,,,,973793.0,1048889.0,,,2034983.0,,,,,,,,,UNRESOLVED,AAhan Achar,unresolved,UNRESOLVED,AAhan Achar,unresolved
9dba7a41,AAH Bhikari,AAH Bhikari,,,,,,,1463541.0,,,,,,,,,,,,,UNRESOLVED,AAH Bhikari,unresolved,UNRESOLVED,AAH Bhikari,unresolved
4ed49d3d,AA Herwadkar,AA Herwadkar,IJXzQGIiAJJeLiOObhVcJK1i0iUyCie,,,,,,532851.0,,,,,,,,,,,1562.0,,4ed49d3d,AA Herwadkar,exact_match,4ed49d3d,AA Herwadkar,exact_match
55a5cffb,A Ahmadhel,A Ahmadhel,,,,,,,1203910.0,,,,2322669.0,,,,,,,,,UNRESOLVED,A Ahmadhel,unresolved,UNRESOLVED,A Ahmadhel,unresolved
60ef3ddb,AA Hussein,AA Hussein,,,,,,,1280685.0,,,,,,,,,,,,,UNRESOLVED,AA Hussein,unresolved,UNRESOLVED,AA Hussein,unresolved
007f121f,A Aikenhead,A Aikenhead,,,,,,,1378740.0,,,,,,,,,,,,,UNRESOLVED,A Aikenhead,unresolved,UNRESOLVED,A Aikenhead,unresolved
0a1c6932,AA Inham,AA Inham,,,,,,,786919.0,,,,,,,,,,,,,UNRESOLVED,AA Inham,unresolved,UNRESOLVED,AA Inham,unresolved
81782f5b,AAIP Bastari,AAIP Bastari,,,,,,,1181807.0,,,,,,,,,,,,,UNRESOLVED,AAIP Bastari,unresolved,UNRESOLVED,AAIP Bastari,unresolved
25c73eb6,A Aitken,A Aitken,,,,,,,306201.0,,,,,,,,,,,,,UNRESOLVED,A Aitken,unresolved,UNRESOLVED,A Aitken,unresolved
88626ed2,AA Jangoo,AA Jangoo,,,,,,,820681.0,,,,1499315.0,,,,,,,,,88626ed2,AA Jangoo,exact_match,88626ed2,AA Jangoo,exact_match
1fb04d31,AA Jasani,AA Jasani,,,,,,,637296.0,,,,,,,,,,,,,UNRESOLVED,AA Jasani,unresolved,UNRESOLVED,AA Jasani,unresolved
2815fe50,AA Jhunjhunwala,AA Jhunjhunwala,,,,,,,29702.0,,,,,,,,,,,284.0,,2815fe50,AA Jhunjhunwala,exact_match,2815fe50,AA Jhunjhunwala,exact_match
b506636b,AA Jimoh,AA Jimoh,,,,,,,1155525.0,,,,,,,,,,,,,UNRESOLVED,AA Jimoh,unresolved,UNRESOLVED,AA Jimoh,unresolved
549e0f4e,AA Jones,AA Jones,,,,,,,1519753.0,,,,,,,,,,,,,UNRESOLVED,AA Jones,unresolved,UNRESOLVED,AA Jones,unresolved
d912dd58,AA Kargave,AA Kargave,,,,,,,1273948.0,,,,,,,,,,,,,d912dd58,AA Kargave,exact_match,d912dd58,AA Kargave,exact_match
02f4b99c,Aakarshit Gomel,Aakarshit Gomel,1eOiAVIiyIGUJCLbOzhJJcie0iKJiXQ,,,,,,474782.0,,,,,,,,,,,,,02f4b99c,Aakarshit Gomel,exact_match,02f4b99c,Aakarshit Gomel,exact_match
279c51f0,Aakash Chand,Aakash Chand,,,,,,,1185557.0,,,,,,,,,,,,,UNRESOLVED,Aakash Chand,unresolved,UNRESOLVED,Aakash Chand,unresolved
24f5e41a,Aakash Verma,Aakash Verma,XJhJO1COJiAeGIIii0iJKUVbiQezLcy,,,,,,482293.0,,,,,,,,,,,,,24f5e41a,Aakash Verma,exact_match,24f5e41a,Aakash Verma,exact_match
223e3b3b,AA Kawirawira,AA Kawirawira,,,,,,,1539955.0,,,,,,,,,,,,,UNRESOLVED,AA Kawirawira,unresolved,UNRESOLVED,AA Kawirawira,unresolved
16605a1b,AA Kazi,AA Kazi,e0cJh1QiOIJeILJAVUCzKyiJGOXbiii,,,,,,422106.0,,,,,,,,,,,,,16605a1b,AA Kazi,exact_match,16605a1b,AA Kazi,exact_match
ed0ec1fe,A Akhigbe,A Akhigbe,,,,,,,1423827.0,,,,,,,,,,,,,UNRESOLVED,A Akhigbe,unresolved,UNRESOLVED,A Akhigbe,unresolved
2d140b79,AA Kulkarni,AA Kulkarni,,,,,,,1403153.0,,,,,,,,,,,,,2d140b79,AA Kulkarni,exact_match,2d140b79,AA Kulkarni,exact_match
b93b7337,A Akurut,A Akurut,,,,,,,1435501.0,,,,,,,,,,,,,UNRESOLVED,A Akurut,unresolved,UNRESOLVED,A Akurut,unresolved
ef6d6883,A Alexander,A Alexander,,,,,,,1451258.0,,,,,,,,,,,,,UNRESOLVED,A Alexander,unresolved,UNRESOLVED,A Alexander,unresolved
de1ae33e,Aaley Haider,Aaley Haider,,,,,,,38960.0,,,,,,,,,,,,,UNRESOLVED,Aaley Haider,unresolved,UNRESOLVED,Aaley Haider,unresolved
5088c217,A Alfonso,A Alfonso,,,,,,,1395410.0,,,,,,,,,,,,,UNRESOLVED,A Alfonso,unresolved,UNRESOLVED,A Alfonso,unresolved
14ea3348,A Amado,A Amado,,,,,,,1321182.0,,,,,,,,,,,,,UNRESOLVED,A Amado,unresolved,UNRESOLVED,A Amado,unresolved
8fa8c6e2,AA Mailey,AA Mailey,,,,,,,6465.0,,,,376.0,,,,,,,,,UNRESOLVED,AA Mailey,unresolved,UNRESOLVED,AA Mailey,unresolved
edb3df84,AA Mallett,AA Mallett,,,,,,,6472.0,,,,1319.0,,,,,,,,,UNRESOLVED,AA Mallett,unresolved,UNRESOLVED,AA Mallett,unresolved
b9317f7a,A Amburose,A Amburose,,,,,,,1540559.0,,,,,,,,,,,,,UNRESOLVED,A Amburose,unresolved,UNRESOLVED,A Amburose,unresolved
ecc4562b,AAM Eliane,AAM Eliane,,,,,,,1276644.0,,,,,,,,,,,,,UNRESOLVED,AAM Eliane,unresolved,UNRESOLVED,AAM Eliane,unresolved
935678ee,Aamer Azmat,Aamer Azmat,,,,,,,1248374.0,,,,,,,,,,,,,UNRESOLVED,Aamer Azmat,unresolved,UNRESOLVED,Aamer Azmat,unresolved
161641cd,Aamer Ikram,Aamer Ikram,,,,,,,1204633.0,,,,,,,,,,,,,UNRESOLVED,Aamer Ikram,unresolved,UNRESOLVED,Aamer Ikram,unresolved
a8e54ef4,Aamer Jamal,Aamer Jamal,,,,,,,793441.0,,,,,,,,,,,,,UNRESOLVED,Aamer Jamal,unresolved,UNRESOLVED,Aamer Jamal,unresolved
97ef55d6,Aamer Malik,Aamer Malik,,,,,,,38965.0,,,,1871.0,,,,,,,,,UNRESOLVED,Aamer Malik,unresolved,UNRESOLVED,Aamer Malik,unresolved
7f8a923e,Aamer Nazir,Aamer Nazir,,,,,,,38966.0,,,,2082.0,,,,,,,,,UNRESOLVED,Aamer Nazir,unresolved,UNRESOLVED,Aamer Nazir,unresolved
f49079b8,Aamer Sohail,Aamer Sohail,,,,,,,38967.0,,,,2031.0,,,,,,,,,UNRESOLVED,Aamer Sohail,unresolved,UNRESOLVED,Aamer Sohail,unresolved
907d6e58,Aamer Yamin,Aamer Yamin,,,,,,,434429.0,,,13732.0,251937.0,,,,,,,2880.0,,UNRESOLVED,Aamer Yamin,unresolved,UNRESOLVED,Aamer Yamin,unresolved
f49989eb,Aamir Aziz,Aamir Aziz,hiOI0JJJJVAXQCLecOieiGIiiyz1bKU,,,,,,589136.0,,,,,,,,,,,,,f49989eb,Aamir Aziz,exact_match,f49989eb,Aamir Aziz,exact_match
2c3afa34,Aamir Gani,Aamir Gani,eiQJUcOiCJKiebVhAIJiy0J1OGzILiX,,,,,,642543.0,,,,,,,,,,,1557.0,,2c3afa34,Aamir Gani,exact_match,2c3afa34,Aamir Gani,exact_match
66f9ecc2,Aamir Javed,Aamir Javed,,,,,,,530197.0,,,,,,,,,,,,,UNRESOLVED,Aamir Javed,unresolved,UNRESOLVED,Aamir Javed,unresolved
7ecb9a14,Aamir Kaleem,Aamir Kaleem,,,,,,,455463.0,,,,54674.0,,,,,,,2824.0,,UNRESOLVED,Aamir Kaleem,unresolved,UNRESOLVED,Aamir Kaleem,unresolved
2472ad2c,Aamir Lal,Aamir Lal,,,,,,,1338631.0,,,,,,,,,,,,,UNRESOLVED,Aamir Lal,unresolved,UNRESOLVED,Aamir Lal,unresolved
80190078,AA Moiane,AA Moiane,,,,,,,1326685.0,,,,,,,,,,,,,UNRESOLVED,AA Moiane,unresolved,UNRESOLVED,AA Moiane,unresolved
82c528b2,AA Mulla,AA Mulla,,,,,,,23899.0,,,,,,,,,,,2671.0,,UNRESOLVED,AA Mulla,unresolved,UNRESOLVED,AA Mulla,unresolved
0f439829,A Amuzu,A Amuzu,,,,,,,1528014.0,,,,,,,,,,,,,UNRESOLVED,A Amuzu,unresolved,UNRESOLVED,A Amuzu,unresolved
7f6364db,A Anandakumara,A Anandakumara,,,,,,,1194800.0,,,,,,,,,,,,,UNRESOLVED,A Anandakumara,unresolved,UNRESOLVED,A Anandakumara,unresolved
528a37ce,Aanand Pandey,Aanand Pandey,,,,,,,1263721.0,,,,,,,,,,,,,UNRESOLVED,Aanand Pandey,unresolved,UNRESOLVED,Aanand Pandey,unresolved
5c805a60,AA Navicha,AA Navicha,,,,,,,1155511.0,,,,,,,,,,,,,UNRESOLVED,AA Navicha,unresolved,UNRESOLVED,AA Navicha,unresolved
38a36999,A Andrew,A Andrew,,,,,,,530131.0,,,,,,,,,,,,,UNRESOLVED,A Andrew,unresolved,UNRESOLVED,A Andrew,unresolved
1d45c01a,A Andrews,A Andrews,,,,,,,1135751.0,,,,,,,,,,,,,UNRESOLVED,A Andrews,unresolved,UNRESOLVED,A Andrews,unresolved
e697d88c,A Andriani,A Andriani,,,,,,,1116777.0,,,,,,,,,,,,,UNRESOLVED,A Andriani,unresolved,UNRESOLVED,A Andriani,unresolved
3adc8219,A Anlezark,A Anlezark,,,,,,,1357425.0,,,,,,,,,,,,,UNRESOLVED,A Anlezark,unresolved,UNRESOLVED,A Anlezark,unresolved
b69e69ed,AA Noffke,AA Noffke,,,,,,,6938.0,,,,,,,,,,,,,b69e69ed,AA Noffke,exact_match,b69e69ed,AA Noffke,exact_match
71ee052e,Aanshul Gupta,Aanshul Gupta,hzVKiJQeGOiICJiIJi1yLAJeOibcXU0,,,,,,536792.0,,,,,,,,,,,,,71ee052e,Aanshul Gupta,exact_match,71ee052e,Aanshul Gupta,exact_match
b075b35d,Aanvi Kishore,Aanvi Kishore,,,,,,,1544677.0,,,,,,,,,,,,,UNRESOLVED,Aanvi Kishore,unresolved,UNRESOLVED,Aanvi Kishore,unresolved
7081491e,AA Obanda,AA Obanda,,,,,,,291844.0,,,,,,,,,,,1158.0,,UNRESOLVED,AA Obanda,unresolved,UNRESOLVED,AA Obanda,unresolved
409ce380,AA Onikoyi,AA Onikoyi,,,,,,,403321.0,,,,,,,,,,,,,UNRESOLVED,AA Onikoyi,unresolved,UNRESOLVED,AA Onikoyi,unresolved
96f5b685,AA Paradkar,AA Paradkar,,,,,,,1276396.0,,,,,,,,,,,,,96f5b685,AA Paradkar,exact_match,96f5b685,AA Paradkar,exact_match
7c1ba524,AA Patil,AA Patil,,,,,,,578451.0,,,,,,,,,,,567.0,,UNRESOLVED,AA Patil,unresolved,UNRESOLVED,AA Patil,unresolved
70d57519,AAP Atkinson,AAP Atkinson,,,,,,,1039481.0,,,,1130431.0,,,336f1b69-2fc6-43be-bbaf-2e7669ee3810,,,,20477.0,,70d57519,AAP Atkinson,exact_match,70d57519,AAP Atkinson,exact_match
0b30bc8a,AA Pragasam,AA Pragasam,,,,,,,954003.0,,,,,,,,,,,,,UNRESOLVED,AA Pragasam,unresolved,UNRESOLVED,AA Pragasam,unresolved
62479b4b,AA Premji,AA Premji,,,,,,,1089774.0,,,,,,,,,,,,,UNRESOLVED,AA Premji,unresolved,UNRESOLVED,AA Premji,unresolved
1911dcbc,AAP Rivero,AAP Rivero,,,,,3520831.0,,1193275.0,,,,,,,,,,,,,UNRESOLVED,AAP Rivero,unresolved,UNRESOLVED,AAP Rivero,unresolved
a95a9620,Aaqib Javed,Aaqib Javed,,,,,,,38970.0,,,,1922.0,,,,,,,,,UNRESOLVED,Aaqib Javed,unresolved,UNRESOLVED,Aaqib Javed,unresolved
d290c5b5,Aaqib Khan,Aaqib Khan,20170036b15dd36111e792a5028d29d,,,,,,1207680.0,,,,,,,,,,,,,d290c5b5,Aaqib Khan,exact_match,d290c5b5,Aaqib Khan,exact_match
2327fdc7,AA Rahayu,AA Rahayu,,,,,,,1409303.0,,,,,,,,,,,,,UNRESOLVED,AA Rahayu,unresolved,UNRESOLVED,AA Rahayu,unresolved
c57f5c4c,AA Rao,AA Rao,,,,,,,1113633.0,,,,,,,6538be42-9ecb-4093-8a84-07b87ef040bf,,,,,,UNRESOLVED,AA Rao,unresolved,UNRESOLVED,AA Rao,unresolved
21d38d47,A Aravinddaraj,A Aravinddaraj,2018557c38a9d91611e8a30e02726df,,,,,,1175501.0,,,,,,,,,,,,,21d38d47,A Aravinddaraj,exact_match,21d38d47,A Aravinddaraj,exact_match
3f1bfd19,A Argyropoulou,A Argyropoulou,,,,,,,1333937.0,,,,,,,,,,,,,UNRESOLVED,A Argyropoulou,unresolved,UNRESOLVED,A Argyropoulou,unresolved
cd4d7695,Aarif Sheikh,Aarif Sheikh,,,,,,,701217.0,,,,1588164.0,,,,,3006.0,,3006.0,,UNRESOLVED,Aarif Sheikh,unresolved,UNRESOLVED,Aarif Sheikh,unresolved
b66201dd,Aarnav Patel,Aarnav Patel,,,,,,,1425319.0,,,,,,,,,,,,,UNRESOLVED,Aarnav Patel,unresolved,UNRESOLVED,Aarnav Patel,unresolved
eab74985,Aaron Beard,AP Beard,,,,,,,894103.0,,,,1130531.0,,,,,,,3482.0,,UNRESOLVED,Aaron Beard,unresolved,UNRESOLVED,AP Beard,unresolved
de8341fd,Aaron Campbell,Aaron Campbell,,,,,,,1269257.0,,,,,,,,,,,,,UNRESOLVED,Aaron Campbell,unresolved,UNRESOLVED,Aaron Campbell,unresolved
17aa4f1d,Aaron Jones,Aaron Jones,,,,,,,957645.0,,,,969401.0,,,,,17108.0,,,,17aa4f1d,Aaron Jones,exact_match,17aa4f1d,Aaron Jones,exact_match
67b99b43,A Arroz,A Arroz,,,,,,,1158412.0,,,,,,,,,,,,,UNRESOLVED,A Arroz,unresolved,UNRESOLVED,A Arroz,unresolved
e1a1b6c4,Aarsheya Sharma,Aarsheya Sharma,,,,,,,1466127.0,,,,,,,,,,,,,UNRESOLVED,Aarsheya Sharma,unresolved,UNRESOLVED,Aarsheya Sharma,unresolved
ec11ad0b,Aarti Priya,Aarti Priya,,,,,,,684055.0,,,,,,,,,,,,,UNRESOLVED,Aarti Priya,unresolved,UNRESOLVED,Aarti Priya,unresolved
8053c798,Aarya Desai,Aarya Desai,,,,,,,1353014.0,,,,,,,,,,,,,8053c798,Aarya Desai,exact_match,8053c798,Aarya Desai,exact_match
88be2a27,AA Sanguelkar,AA Sanguelkar,,,,,,,1213644.0,,,,407081.0,,,,,,,,,UNRESOLVED,AA Sanguelkar,unresolved,UNRESOLVED,AA Sanguelkar,unresolved
90a5e58a,AA Sanklecha,AA Sanklecha,VyGiiQeJ0CJIJiiAhU1OcJbKzieIOXL,,,,,,35292.0,,,,,,,,,,,,,90a5e58a,AA Sanklecha,exact_match,90a5e58a,AA Sanklecha,exact_match
8996a9a0,AA Sarwate,AA Sarwate,,,,,,,719717.0,,,,,,,,,,,,,8996a9a0,AA Sarwate,exact_match,8996a9a0,AA Sarwate,exact_match
719ac15b,AA Senn,AA Senn,,,,,,,256969.0,,,,,,,,,,,,,UNRESOLVED,AA Senn,unresolved,UNRESOLVED,AA Senn,unresolved
ef7a904e,AA Shafique,AA Shafique,,,,,,,513005.0,,,,,,,,,,,,,UNRESOLVED,AA Shafique,unresolved,UNRESOLVED,AA Shafique,unresolved
1c2a64cd,A Ashish Reddy,A Ashish Reddy,VcQJi1U0OGJeCXKzibLiyhIAiJJIeOi,,,,,,389605.0,,,,,,,,,,,34.0,,1c2a64cd,A Ashish Reddy,exact_match,1c2a64cd,A Ashish Reddy,exact_match
5792f4e0,Aashita Gupta,Aashita Gupta,,,,,,,1434181.0,,,,,,,,,,,,,UNRESOLVED,Aashita Gupta,unresolved,UNRESOLVED,Aashita Gupta,unresolved
321be7e3,A Ashok,A Ashok,,,,,,,1193546.0,,,,,,,0ad52976-7c00-4704-95a8-f6e267ec7646,,,,,,UNRESOLVED,A Ashok,unresolved,UNRESOLVED,A Ashok,unresolved
9244df4b,A Ashokan,A Ashokan,,,,,,,1156472.0,,,,2243294.0,,,,,,,,,UNRESOLVED,A Ashokan,unresolved,UNRESOLVED,A Ashokan,unresolved
42c41e1a,Aasif Iqbal,Aasif Iqbal,,,,,,,1141874.0,1241315.0,,,,,,,,,,,,UNRESOLVED,Aasif Iqbal,unresolved,UNRESOLVED,Aasif Iqbal,unresolved
dcbea954,Aasif Sheikh,Aasif Sheikh,,,,,,,1058514.0,,,,,,,,,,,,,UNRESOLVED,Aasif Sheikh,unresolved,UNRESOLVED,Aasif Sheikh,unresolved
1c878cfc,AA Siwa,AA Siwa,,,,,,,637294.0,,,,,,,,,,,,,UNRESOLVED,AA Siwa,unresolved,UNRESOLVED,AA Siwa,unresolved
72448ed4,A Askari,A Askari,,,,,,,1414169.0,,,,,,,,,,,,,UNRESOLVED,A Askari,unresolved,UNRESOLVED,A Askari,unresolved
94aa1697,AAS Silva,AAS Silva,,,,,,,229060.0,,,,,,,,,,,,,UNRESOLVED,AAS Silva,unresolved,UNRESOLVED,AAS Silva,unresolved
58c2fac4,A Athanaze,A Athanaze,,,,,,,1078692.0,,,,,,,,,,,,,58c2fac4,A Athanaze,exact_match,58c2fac4,A Athanaze,exact_match
056e3558,A Augastin,A Augastin,,,,,,,1492934.0,,,,,,,,,,,,,UNRESOLVED,A Augastin,unresolved,UNRESOLVED,A Augastin,unresolved
7f92e0e7,A Austin,A Austin,,,,,,,928075.0,,,,,,,,,,,,,UNRESOLVED,A Austin,unresolved,UNRESOLVED,A Austin,unresolved
f2756a51,AA Wagh,AA Wagh,,,,,,,1499371.0,,,,,,,,,,,,,UNRESOLVED,AA Wagh,unresolved,UNRESOLVED,AA Wagh,unresolved
fa62a463,A Awasthi,A Awasthi,,,,,,,1403178.0,,,,,,,,,,,,,fa62a463,A Awasthi,fuzzy_string_matching,fa62a463,A Awasthi,fuzzy_string_matching
93544e69,A Awasthi,Abhishek Awasthi,,,,,,,1500607.0,,,,,,,,,,,,,fa62a463,A Awasthi,fuzzy_string_matching,UNRESOLVED,Abhishek Awasthi,unresolved
d2d15439,Aayan Afzal Khan,Aayan Afzal Khan,,,,,,,1241265.0,,,,,,,,,,,,,d2d15439,Aayan Afzal Khan,exact_match,d2d15439,Aayan Afzal Khan,exact_match
a09eb585,A Ayre,A Ayre,,,,,,,333639.0,,,,,,,,,,,,,a09eb585,A Ayre,exact_match,a09eb585,A Ayre,exact_match
1cca37c8,A Bacher,A Bacher,,,,,,,44026.0,,,,1271.0,,,,,,,,,UNRESOLVED,A Bacher,unresolved,UNRESOLVED,A Bacher,unresolved
872b03f7,A Badoni,A Badoni,iUJeXIbiz1VGLe0iiJcIOJQCAKJhiOy,,,,,,1151270.0,,,,,,,,,,,,,872b03f7,A Badoni,exact_match,872b03f7,A Badoni,exact_match
112959b2,A Bagai,A Bagai,,,,,,,23797.0,,,,,,,,,,,1234.0,,UNRESOLVED,A Bagai,unresolved,UNRESOLVED,A Bagai,unresolved
fa463154,AB Agarkar,AB Agarkar,,,,,,,26184.0,,,,7111.0,,,,,,,47.0,,fa463154,AB Agarkar,exact_match,fa463154,AB Agarkar,exact_match
6ef13460,A Balbirnie,A Balbirnie,,,,,,,303423.0,,,,128608.0,,,98fc9551-7bfd-4070-a522-7d8ff40661dd,,,,1190.0,,UNRESOLVED,A Balbirnie,unresolved,UNRESOLVED,A Balbirnie,unresolved
2d71e6cc,A Bandara,A Bandara,,,,,,,1291678.0,,,,,,,,,,,,,UNRESOLVED,A Bandara,unresolved,UNRESOLVED,A Bandara,unresolved
2fedc70a,AB Apperley,AB Apperley,,,,,,,1410602.0,,,,,,,,,,,,,UNRESOLVED,AB Apperley,unresolved,UNRESOLVED,AB Apperley,unresolved
f9607922,A Barnes,A Barnes,,,,,,,44049.0,,,,,,,,,,,,,UNRESOLVED,A Barnes,unresolved,UNRESOLVED,A Barnes,unresolved
4f62e07f,A Barty,A Barty,,,,,,,942629.0,,,,,,,,,,,,,UNRESOLVED,A Barty,unresolved,UNRESOLVED,A Barty,unresolved
d3a3e82d,AB Barath,AB Barath,,,,,,,274926.0,,,,158039.0,,,,,,,398.0,,d3a3e82d,AB Barath,exact_match,d3a3e82d,AB Barath,exact_match
2cec2a92,Abbas Afridi,Abbas Afridi,,,,,,,1158538.0,,,,,,,,,,,,,2cec2a92,Abbas Afridi,exact_match,2cec2a92,Abbas Afridi,exact_match
41ce15da,Abbas Ali Baig,Abbas Ali Baig,,,,,,,26817.0,,,,1113.0,,,,,,,,,UNRESOLVED,Abbas Ali Baig,unresolved,UNRESOLVED,Abbas Ali Baig,unresolved
a8f91f78,Abbas Ghani,Abbas Ghani,,,,,,,1390687.0,,,,,,,,,,,,,UNRESOLVED,Abbas Ghani,unresolved,UNRESOLVED,Abbas Ghani,unresolved
c3e77f52,Abbas Saad,Abbas Saad,,,,,,,362682.0,,,,,,,,,,,,,UNRESOLVED,Abbas Saad,unresolved,UNRESOLVED,Abbas Saad,unresolved
1760e2c7,AB Bhadoriya,AB Bhadoriya,,,,,,,1292716.0,,,,,,,,,,,,,1760e2c7,AB Bhadoriya,exact_match,1760e2c7,AB Bhadoriya,exact_match
57c81c1f,ABB Sangma,ABB Sangma,,,,,,,1403151.0,,,,,,,,,,,,,57c81c1f,ABB Sangma,exact_match,57c81c1f,ABB Sangma,exact_match
5f272b72,AB Chawla,AB Chawla,,,,,,,23939.0,,,,,,,,,,,,,UNRESOLVED,AB Chawla,unresolved,UNRESOLVED,AB Chawla,unresolved
dfdd7b97,Abdalah Lubega,Abdalah Lubega,,,,,,,522222.0,,,,,,,,,,,,,UNRESOLVED,Abdalah Lubega,unresolved,UNRESOLVED,Abdalah Lubega,unresolved
